transposedRow1,transposedRow2,transposedRow3,transposedRow4,transposedRow5,transposedRow6,transposedRow7,transposedRow8,transposedRow9,transposedRow10,transposedRow11,transposedRow12,transposedRow13,transposedRow14,transposedRow15,transposedRow16,transposedRow17,transposedRow18,transposedRow19,transposedRow20,transposedRow21,transposedRow22,transposedRow23,transposedRow24,transposedRow25,transposedRow26,transposedRow27,transposedRow28,transposedRow29,transposedRow30,transposedRow31,transposedRow32,transposedRow33,transposedRow34,transposedRow35,transposedRow36
1714.744,6.305,0.446,4,8,9,0.996765825289654,0.996946597513495,0.997509161796544,0.997744490112247,0.998243044548681,0.99842748721684,0.99872203987252,0.998774005365785,0.998808112962836,0.999106264272818,0.999381326076882,0.999521059665476,0.999931375894217,1.00014714127179,1.000321519788,1.0003493475338,1.00061105762228,1.00077348883809,1.0011082643771,1.00123540526369,1.00126624226643,1.00131751630825,1.00138635470494,1.00190996986959,1.00217350240008,1.00248043478498,1.00277999717668,1.00301401640237,1.00313189499431,1.00320453948133
2039.254,5.076,0.39,4,8,9,0.997677114451691,0.99770714002824,0.998093362592459,0.998106804706602,0.998339656984629,0.99872526240101,0.998824229670316,0.99898147606709,0.999327196350606,0.99937704411587,0.999620185569191,0.999651789085646,0.999925942482823,1.00007139133399,1.00026803293862,1.00027836923006,1.00047878021523,1.00059938741994,1.00072594987718,1.00093978950404,1.0009953508547,1.00101157692592,1.00129506057309,1.00144576264169,1.00157773847722,1.00173795252481,1.00185112784513,1.00205625711469,1.00212496521412,1.00219444985873
1177.589,3.899,0.44,4,8,9,0.997310611092259,0.997354985250783,0.997697124280598,0.998016775243756,0.998394508984977,0.998439260087991,0.998530526078345,0.998906381552758,0.99917609714875,0.999204906939073,0.99934728342944,0.999446502691334,0.999654453148543,0.999786905401275,1.00022416883648,1.00038520122466,1.00046413108222,1.00059560978404,1.00084804752997,1.00111095821439,1.00112751275926,1.00124226843924,1.00157689291396,1.00178381967618,1.00211556545251,1.00219230132616,1.00238124474028,1.00244224721783,1.00244361098011,1.00249633970557
1497.433,8.825,0.392,4,8,9,0.994978800017687,0.99517132171332,0.995341861428586,0.995406188835629,0.995647283783185,0.995762846763138,0.996074563080134,0.996187217878208,0.996562141846871,0.997017684611163,0.997232850823775,0.997988643524897,0.998078513117662,0.998205161920996,0.998457375613319,0.999375122438781,0.999891731302238,1.00044683449218,1.00054558267487,1.00109853899701,1.00114791290219,1.00117526949531,1.00143453525571,1.00278730114598,1.00279147290842,1.00329202884073,1.00332264230055,1.00354382744528,1.00402202054337,1.0048458428586
1689.73,5.157,0.468,4,8,9,0.997447984062331,0.99750941147249,0.997549577457501,0.997704687009899,0.998061653485109,0.998279526187124,0.998564384052988,0.998680664284583,0.998685951519066,0.998750920193642,0.9987867111151,0.999370142474947,0.999577645451989,0.999729111696601,0.999948511392202,1.00001141035835,1.00015590887801,1.00022166715686,1.00079520111345,1.00099938032144,1.0014141759831,1.001443759453,1.00155049174055,1.00159951158945,1.00160081101282,1.00189286306036,1.00200067981632,1.00208812664142,1.00226113966747,1.0026046207104
1412.886,3.008,0.36,4,8,9,0.998189836002203,0.998203253388721,0.998333955619341,0.998622362537435,0.998633655834765,0.998674665054605,0.999041514038643,0.999190499157744,0.999321507226387,0.999523489361926,0.999588667175678,0.99972627645353,0.99977197777325,0.999798168938552,0.999996401115628,1.000254617167,1.0003071287995,1.00045497715962,1.00045547243854,1.0004685817795,1.00055055271312,1.00083309581328,1.00120845811536,1.00137892786975,1.00143776271589,1.00145543343589,1.00149601845822,1.00149684362018,1.00179760596416,1.00186473780827
1826.901,1.453,0.396,4,8,9,0.999226730932215,0.999350704616093,0.999356291087924,0.999364494005579,0.999416941499543,0.999465445448928,0.999469866206654,0.999485240213422,0.999627661527686,0.999670263287374,0.999703304019763,0.999721003149063,0.999753514119477,0.999902345105782,0.999905186148913,0.99994130053979,1.00018025493229,1.0001947192818,1.00025565407604,1.0002659533676,1.00031257395336,1.00035074647807,1.00044597278591,1.00047941686221,1.00053244607455,1.00056758497526,1.00068527459852,1.0007265287153,1.00078979834894,1.00086837382122
1657.975,5.956,0.443,4,8,9,0.996669887235033,0.996739975415274,0.99723092809141,0.997298092690587,0.997343994604186,0.997763405663142,0.997927724013401,0.998123235665675,0.998175731202757,0.99861058026572,0.998697485622201,0.999097700190706,0.999175486143357,0.999262556901502,0.999516879225045,0.999753466050899,1.0001806298401,1.00038169258665,1.00069835530986,1.00121705662613,1.00138478988102,1.00146112613906,1.00162121578194,1.00176812343222,1.00234588100118,1.00244781262781,1.00250949980965,1.00256516025476,1.00314213194791,1.00334153187749
1974.364,0.741,0.373,4,8,9,0.999561059917144,0.999581612828199,0.999609124773085,0.999644762894084,0.999667624659275,0.999709234198719,0.999757974602541,0.999777830167874,0.999814437842171,0.999826409318581,0.999893211300578,0.99989987948717,0.999957490985986,0.999967021935264,1.0000092770863,1.00004242458311,1.00008381294861,1.00008814553119,1.00011254505241,1.00013028934809,1.00014188347664,1.00021505678046,1.00021765426514,1.0002264928075,1.00024924132558,1.00027969584402,1.0003061891589,1.00033506402633,1.00033796621194,1.00035657821468
2197.155,4.332,0.363,4,8,9,0.998034635319981,0.998172555168034,0.998405446894928,0.998428109979314,0.998509263283605,0.998611805693208,0.998699844859507,0.9987068028542,0.999042060303552,0.999068613366673,0.999303557835511,0.999639675163649,0.999684898843391,0.999701408917889,0.999987235938,1.00006842685857,1.00031854974127,1.00041125864567,1.00042208432698,1.0004490233971,1.00056406175748,1.00065332179599,1.00087915863375,1.00130241488513,1.00143906036805,1.00145240106314,1.0016221881605,1.00168341061457,1.00173955997552,1.0018347490004
