transposedRow1,transposedRow2,transposedRow3,transposedRow4,transposedRow5,transposedRow6,transposedRow7,transposedRow8,transposedRow9,transposedRow10,transposedRow11,transposedRow12,transposedRow13,transposedRow14,transposedRow15,transposedRow16,transposedRow17,transposedRow18,transposedRow19,transposedRow20,transposedRow21,transposedRow22,transposedRow23,transposedRow24,transposedRow25,transposedRow26,transposedRow27,transposedRow28,transposedRow29,transposedRow30,transposedRow31,transposedRow32,transposedRow33,transposedRow34,transposedRow35,transposedRow36
1524.417,8.285,0.406,4,5,10,0.993157140847556,0.993359886357891,0.994062522553881,0.994138378508845,0.994320873720569,0.994866433855341,0.995644226348502,0.996150081525215,0.996996091410845,0.997893132293204,0.99857611208726,0.998609209331192,0.999101572749641,0.999383222814752,1.00021571661907,1.00171326307039,1.00173787835535,1.00257776608764,1.00333444970629,1.00372733946949,1.00446274252263,1.004565060274,1.00474465017501,1.00585865732301,1.00608927533097,1.00623174069994,1.00645214992501,1.00689822713775,1.00693336333956,1.00758758084251
920,1,0.4,4,5,10,0.998485626961606,0.998529628563339,0.998921868433281,0.999034561250519,0.999123345828527,0.999154340241893,0.999293729675084,0.999297571644183,0.999417862644291,0.999421804617432,0.999505223642438,0.999614182246903,0.999937341776739,0.999942613654284,1.00005118026596,1.00015843239733,1.00016922544727,1.00045471968802,1.0005846106116,1.00058665241708,1.00061394854978,1.00064966337963,1.00089529433599,1.00116613537876,1.001220992726,1.00145717156087,1.00150881264349,1.00161671877533,1.0016433143184,1.00166779826244
900,1.38,0.42,4,5,10,0.997894932016108,0.997916329977369,0.998340701650421,0.998560062995431,0.998662526413771,0.99874746933355,0.998805825273676,0.9989946134598,0.999179010615263,0.999244486526531,0.99934736759493,0.999460631539046,0.999593868428056,0.999604515448115,0.999698324370341,0.999853655095299,1.00028462351079,1.00034597501519,1.00044659126754,1.00064076421154,1.00064260973364,1.00069752307411,1.00113897261265,1.00142168462522,1.00142604274207,1.00165586765827,1.00174227714415,1.00192793732459,1.00200862524173,1.00217489927646
1400,2.8,0.4,4,5,10,0.997625150224939,0.997676507306203,0.997726706164788,0.997929878283726,0.997944985473826,0.998160017477581,0.998309721780266,0.998458587511345,0.998867875349434,0.99913639748068,0.999145003344375,0.9993198771068,0.999498720636752,0.99967558618219,0.999984727018881,1.00036992394078,1.00038652914051,1.00057487198884,1.00071968219351,1.0008686461294,1.00089720834605,1.0009457492701,1.00101886090939,1.00169048339293,1.00203962840434,1.00204328599969,1.00221422430852,1.00223575819814,1.0023032678385,1.00251174733849
1490,6,0.35,4,5,10,0.995823766354421,0.996373000084837,0.996426110401655,0.996728581887437,0.997487033886895,0.99761323252422,0.99824901896595,0.998365510518567,0.998684068997881,0.998905734610875,0.999160567967734,0.999438363212394,0.999462988748918,0.999605225171807,1.000109660154,1.00017490902832,1.00035212780779,1.00091141448113,1.00108224695705,1.0011731426971,1.00176677499101,1.00184488555471,1.00228683122604,1.00241544866952,1.00278267949531,1.00338521065193,1.0034301322304,1.00361869899993,1.00368753888786,1.0040287656802
1740,0.8,0.49,4,5,10,0.998257663804742,0.998277954561172,0.99851665166453,0.998637879791359,0.998698423723026,0.999034234756283,0.999180241095963,0.999404477365143,0.999459613336614,0.999512595401835,0.999525562534569,0.999597653816854,0.999833614598977,0.999932889405998,1.00006808836657,1.00033581084515,1.0004777177128,1.00047848699665,1.00057675146055,1.00065336980497,1.0007640843498,1.00087931156303,1.00104680500804,1.00111143073142,1.00122719744431,1.00138639975608,1.00139769943848,1.00145929821151,1.00165563878097,1.0018111398516
1040,3.4,0.35,4,5,10,0.995374425392481,0.996084902054013,0.99660434391714,0.99664689503438,0.997169066077317,0.997220030484648,0.997650149462794,0.998445845868632,0.998476005744778,0.998898674379016,0.999061435612028,0.99923936308541,0.999526179122497,0.999722241015581,1.00001628897346,1.00020953304526,1.00025189693304,1.00049117757644,1.00053183706634,1.00072873231037,1.00112388022116,1.00139839567127,1.00184053699753,1.00203706119224,1.00254803365523,1.00342319572081,1.00355026600145,1.00377065686697,1.00445748815379,1.00458006017722
1780,2.17,0.42,4,5,10,0.998212489790679,0.998253962090503,0.998408245867661,0.998412643183867,0.998609647107768,0.998621784949985,0.998781517352041,0.998851454822665,0.999008052471928,0.999171473763483,0.999237646167852,0.999434647564646,0.999500869493482,0.999519222489941,0.999730328932423,1.00001961641965,1.00018435382606,1.00022176237556,1.00030122511208,1.0005109391497,1.0005357679022,1.00072195259865,1.00084461139944,1.00090497330212,1.00094689430067,1.00113523677396,1.00119551643428,1.00121609964569,1.00148774340894,1.00164763821888
1200,2.4,0.35,4,5,10,0.997227421442428,0.997445778341455,0.997615308224777,0.99764964433917,0.997768892113542,0.997913535247668,0.998209560657609,0.998220711639576,0.998221788974758,0.998673999433683,0.99904449530373,0.999085319527715,0.999456789805129,0.999505465855827,0.999511883455959,0.999937780537037,1.00011890321176,1.00028383120034,1.00035582133288,1.00039773193901,1.00096152772668,1.00109338372097,1.00131194374901,1.00164221464753,1.00167387300178,1.00196325711446,1.00199836677282,1.00226805795268,1.00267447229823,1.00269125860175
1130,1,0.41,4,5,10,0.998519024374368,0.998623643496885,0.998688781897671,0.998760377014342,0.998855123092176,0.998994686816606,0.999037030123863,0.999210493138499,0.999251275991964,0.999369186466044,0.999373368527087,0.999573488297375,0.999721785449314,0.999747542337573,0.999818453314834,0.999823079936214,0.999945069922159,1.00009963589664,1.00019214881316,1.00030207585507,1.00031141598459,1.00032485832971,1.00033071308504,1.00040089203717,1.0005657613011,1.00067257583764,1.00092864031228,1.00097192004681,1.00127898406382,1.00150048062854
