transposedRow1,transposedRow2,transposedRow3,transposedRow4,transposedRow5,transposedRow6,transposedRow7,transposedRow8,transposedRow9,transposedRow10,transposedRow11,transposedRow12,transposedRow13,transposedRow14,transposedRow15,transposedRow16,transposedRow17,transposedRow18,transposedRow19,transposedRow20,transposedRow21,transposedRow22,transposedRow23,transposedRow24,transposedRow25,transposedRow26,transposedRow27,transposedRow28,transposedRow29,transposedRow30,transposedRow31,transposedRow32,transposedRow33,transposedRow34,transposedRow35,transposedRow36
12137.40828,81.87410565,0.35726,6,8,10,0.99472809,0.995022266,0.99634883,0.996539467,0.996826484,0.996983021,0.997267742,0.997355829,0.998077978,0.998365418,0.999287295,0.999480406,0.999840536,1.000396439,1.000475834,1.00049092,1.000978945,1.001080938,1.002136608,1.002300415,1.002868794,1.003365427,1.00352982,1.00387535,1.003966702,1.004068381,1.004133637,1.00446499,1.004824946,1.005239297
8804.323624,102.3513264,0.25401,6,8,10,0.994085015,0.994354725,0.99479346,0.995447997,0.995554461,0.995907203,0.996166906,0.996180908,0.998043367,0.998731146,0.999867048,1.000179784,1.000927431,1.001454288,1.001488418,1.001695058,1.001982934,1.00315632,1.003165969,1.00331821,1.003858925,1.00416582,1.004689251,1.004846692,1.00521658,1.005769641,1.006318929,1.006468325,1.006780166,1.006851172
8589.399895,88.91773856,0.26672,6,8,10,0.992300066,0.993989665,0.99495517,0.995003044,0.995179466,0.996167876,0.996222342,0.997454668,0.998389316,0.999330535,0.999503602,0.999780622,1.0002608,1.000374446,1.000790057,1.001157445,1.001250232,1.001654429,1.002152677,1.003379059,1.003815815,1.003827557,1.004031898,1.006399357,1.006798352,1.007213729,1.007413491,1.00791329,1.008084245,1.008110038
17662.57991,104.4216377,0.28087,6,8,10,0.996217506,0.996298569,0.996841104,0.996888945,0.997017079,0.997162074,0.997885487,0.99807727,0.998095879,0.998195859,0.998507398,0.998730883,0.998799043,0.999653028,0.999780264,1.000014235,1.000781996,1.000836445,1.001062133,1.001140674,1.001354247,1.001613442,1.001825824,1.001835697,1.001985426,1.002233749,1.002330164,1.002822138,1.002939232,1.003170659
8369.777872,115.842328,0.29346,6,8,10,0.990644881,0.992037393,0.992179257,0.992753932,0.992896852,0.99326862,0.994847017,0.995786244,0.997519184,0.998369036,0.999632631,1.000160142,1.000252045,1.000886824,1.000923289,1.000940724,1.002137632,1.002213612,1.002215528,1.003047062,1.003407776,1.003431712,1.003815183,1.004078412,1.006257947,1.006304997,1.00795428,1.008059599,1.00835229,1.008861475
7808.184977,112.5421692,0.34439,6,8,10,0.988683733,0.992400952,0.993128942,0.993197045,0.993768443,0.994323307,0.996074987,0.997135031,0.997403039,0.999110351,0.999214382,0.999721647,1.000431626,1.001799415,1.001907008,1.003605346,1.00397784,1.004145739,1.004722515,1.0056808,1.006162109,1.007014443,1.00750114,1.008240545,1.008405648,1.009501645,1.00981992,1.009968781,1.010186061,1.011160053
8318.500277,89.71099805,0.27633,6,8,10,0.992361097,0.99262949,0.993362322,0.993584686,0.994935309,0.995391714,0.996035743,0.996845596,0.996924861,0.996926757,0.997774826,0.998561752,0.999267647,0.99960021,0.999845133,1.000080414,1.000508554,1.000695855,1.001901872,1.002041591,1.002638537,1.003789875,1.004416812,1.005505317,1.005763557,1.005876454,1.006257707,1.007279792,1.007581496,1.007721349
14416.39072,34.33776045,0.28513,6,8,10,0.998631227,0.998704232,0.998715884,0.998817372,0.998942441,0.999100561,0.999281877,0.999298955,0.999456884,0.999475657,0.999606898,0.999768075,0.999792319,0.999965691,0.999970417,1.000034355,1.00013294,1.000228906,1.000271507,1.000325996,1.000333195,1.000631062,1.000665253,1.000762764,1.000931111,1.001024014,1.001171884,1.001174222,1.001315085,1.001329594
9588.043268,171.1003749,0.26663,6,8,10,0.982997589,0.983473971,0.986009548,0.988551705,0.988837658,0.989976335,0.990740563,0.991068982,0.991617888,0.991914035,0.993451682,0.994325606,0.995328727,0.995913419,0.996139113,1.000904557,1.003172966,1.003485626,1.003888077,1.004759339,1.00534382,1.00974241,1.010136973,1.012411214,1.012777975,1.012801919,1.013461214,1.013944117,1.014824494,1.016607008
9119.170927,64.01921611,0.35458,6,8,10,0.995870042,0.996099291,0.99637078,0.996644613,0.996896995,0.996926893,0.997003221,0.997060505,0.997248493,0.997422204,0.997634444,0.99811371,0.998797259,0.998825425,0.999675371,0.999766047,1.000126305,1.00027461,1.00072272,1.000802168,1.00158993,1.001923289,1.002009871,1.002524813,1.002755578,1.002962596,1.003060368,1.003236796,1.003648288,1.003929288
16638.10649,60.93074335,0.26274,6,8,10,0.997746455,0.998039527,0.998137155,0.998313645,0.998415415,0.998481815,0.99860928,0.998787005,0.999108301,0.999195096,0.999203038,0.999526238,0.999614316,0.999694501,0.999769818,1.000073111,1.000262293,1.000545484,1.000578702,1.000912176,1.001070692,1.00110723,1.001246896,1.001451044,1.001532035,1.001615739,1.001793373,1.002069051,1.002173823,1.002180166
17896.22547,140.7056956,0.32527,6,8,10,0.995034304,0.995279975,0.995947545,0.99599341,0.996119316,0.996321012,0.996644254,0.997227166,0.997386637,0.997643332,0.997857421,0.998240171,0.998722963,0.999229591,0.999694306,0.999788953,1.000063221,1.001058862,1.001261339,1.001694048,1.001737782,1.001896117,1.002187809,1.002568693,1.002761567,1.003481292,1.004109391,1.004573356,1.004724181,1.005003835
9052.623545,40.77799681,0.28765,6,8,10,0.997351943,0.997381872,0.99739203,0.997493337,0.998020666,0.998021758,0.998072758,0.998573503,0.998718701,0.998719658,0.998729432,0.999079511,0.999202061,0.999545073,1.000159596,1.000219415,1.000262484,1.000500593,1.000570585,1.000902346,1.001284953,1.001307818,1.001686945,1.001944875,1.00201184,1.002234259,1.002244636,1.002336988,1.002480706,1.002860205
16258.30436,341.957131,0.25404,6,8,10,0.981333673,0.982406201,0.982579235,0.985908983,0.98679962,0.98818743,0.989114849,0.990203552,0.996647569,0.998395399,0.999460061,1.000579693,1.001228687,1.00380564,1.004842891,1.006293464,1.006817638,1.008191761,1.008819091,1.010147084,1.012852335,1.013793139,1.01472453,1.014899705,1.015259981,1.016060683,1.016456354,1.017336045,1.017417151,1.018963771
3587.961451,27.03800961,0.27323,6,8,10,0.9944942,0.994749032,0.994847668,0.994930681,0.994960746,0.99498168,0.995568639,0.995905187,0.996192054,0.996530996,0.997460004,0.997904594,0.999394846,0.99970212,0.999795566,0.999959934,1.000654508,1.000667268,1.001109402,1.001607014,1.001822306,1.002873916,1.003183415,1.003253705,1.003523606,1.003588478,1.003640345,1.00413638,1.004568082,1.00557036
16931.67318,82.90947039,0.34489,6,8,10,0.996857755,0.996971839,0.997516969,0.997700966,0.997735571,0.997997814,0.998006675,0.998270056,0.998531662,0.998571043,0.998585939,0.998846863,0.999070943,0.99907276,0.999421894,0.999651138,1.000046913,1.000153404,1.000582283,1.000702355,1.001142557,1.001419993,1.001447064,1.001523562,1.00205733,1.002058733,1.002769805,1.002772597,1.002878102,1.002934032
9629.110457,16.3203285,0.27977,6,8,10,0.999009359,0.999114227,0.999157436,0.999258335,0.999322749,0.999388243,0.999480888,0.999501939,0.999568182,0.999686599,0.999754244,0.999796822,0.999841344,0.999958497,1.000044936,1.000096031,1.000157286,1.000240919,1.000265085,1.000282809,1.000339244,1.000511447,1.000522933,1.000583628,1.000631737,1.000773291,1.000886438,1.000974369,1.000989676,1.00099843
5142.348102,40.98762441,0.32889,6,8,10,0.99495932,0.995014065,0.995518196,0.995777599,0.996506289,0.996789383,0.997023067,0.99735641,0.998168279,0.99823761,0.998722556,0.999341966,0.999710088,1.000245233,1.000355493,1.000637695,1.001177948,1.001569264,1.001814919,1.002141339,1.00227289,1.002356793,1.002597501,1.003309474,1.003325244,1.003567195,1.003994479,1.00434834,1.004551576,1.005145169
13645.24052,274.6066919,0.31079,6,8,10,0.987212942,0.987890544,0.988110613,0.988120644,0.990031299,0.990618413,0.991537923,0.995260843,0.995652838,0.995774723,0.996482079,0.998153234,0.999768491,1.000235038,1.00057949,1.000844631,1.001352113,1.003044121,1.003613296,1.00648307,1.008988535,1.010057874,1.010248525,1.01049496,1.011343015,1.012025784,1.013795734,1.014250296,1.015740329,1.016424845
7707.577879,96.65418319,0.27519,6,8,10,0.989337813,0.989635667,0.990198922,0.992440874,0.992808542,0.994305926,0.995678217,0.996102941,0.996293624,0.997038059,0.997442012,0.997602884,0.997623582,0.997977832,0.998191312,0.998280803,0.999377019,0.999437709,1.00019803,1.000835539,1.001662144,1.002782872,1.00345262,1.00424604,1.006290859,1.007976728,1.008003771,1.008084628,1.008687115,1.009276254
11059.8864,252.7244933,0.32591,6,8,10,0.979759737,0.980907246,0.981689931,0.983485192,0.984377487,0.984756474,0.98649761,0.987271898,0.987614466,0.988675769,0.988710946,0.990895226,0.99274292,0.993068429,0.993567877,0.994994983,0.99558089,0.998062121,1.000092723,1.001888766,1.00242058,1.002823594,1.00473578,1.007251115,1.007775146,1.009532245,1.011829599,1.013107537,1.014624313,1.022202062
4201.081646,29.70910403,0.29649,6,8,10,0.995165008,0.995601242,0.995748726,0.995993565,0.996080967,0.997451709,0.997603024,0.998151802,0.998238441,0.998266868,0.998420027,0.999307402,0.999408417,0.999506143,0.999510785,0.999567872,0.999948329,1.000231437,1.000595648,1.001085008,1.001109954,1.002020875,1.002021512,1.002592611,1.003264488,1.004068342,1.00410898,1.004639122,1.004833857,1.004851701
7501.140971,150.1752597,0.26658,6,8,10,0.986762442,0.987033031,0.987694026,0.988217003,0.988496279,0.988577811,0.989866393,0.994589705,0.995390803,0.99574751,0.995863909,0.995980211,0.99601118,0.99621341,0.997518138,0.999008019,0.999433462,0.999855656,1.000918954,1.000948764,1.002721903,1.003779818,1.006015989,1.007622612,1.008792859,1.010066793,1.010237184,1.010247298,1.01156264,1.012130959
